2018-11-21 15:54:40,885 ERROR        pool-3-thread-1|    SyncMessageConsumer| Async msg handling error: null
2018-11-21 15:54:53,140 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:53,244 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:56,290 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:56,358 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:59,409 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:59,479 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:02,526 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:02,596 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:05,675 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:05,860 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:27,344 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:30,589 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,706 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,806 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,856 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:36,858 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:36,939 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:36,973 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:40,055 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:40,065 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:40,090 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:43,222 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:43,243 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:43,249 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:46,367 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:46,373 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:46,392 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:49,553 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:49,570 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:52,661 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:52,689 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:52,700 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:04,108 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:07,213 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:10,329 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2
