2018-11-21 09:45:00,797 ERROR       pool-11-thread-1|          MessageSystem| eMail Transport Error java.lang.IllegalStateException: Please use [mailserver] option first
2018-11-21 11:13:38,662 ERROR       pool-11-thread-1|          MessageSystem| eMail Transport Error java.lang.IllegalStateException: Please use [mailserver] option first
2018-11-21 11:50:04,462 ERROR       pool-3-thread-21|    SyncMessageConsumer| Async msg handling error: Print request does not contain any job.
2018-11-21 12:00:20,056 ERROR       pool-3-thread-21|    SyncMessageConsumer| Async msg handling error: Print request does not contain any job.
2018-11-21 15:25:38,062 ERROR       pool-11-thread-1|          MessageSystem| eMail Transport Error javax.mail.MessagingException: Could not connect to SMTP host: smtp.office365.com, port: 587;
2018-11-21 15:34:24,539 ERROR       pool-11-thread-1|          MessageSystem| eMail Transport Error javax.mail.MessagingException: Could not connect to SMTP host: smtp.office365.com, port: 587;
2018-11-21 15:54:14,868 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitRetry'. Returning default: 'null'
2018-11-21 15:54:14,868 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitSleep'. Returning default: 'null'
2018-11-21 15:54:14,869 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'serverGUID2'. Returning default: 'null'
2018-11-21 15:54:39,742 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'commandExecutorPoolSize'. Returning default: 'null'
2018-11-21 15:54:40,885 ERROR        pool-3-thread-1|    SyncMessageConsumer| Async msg handling error: null
2018-11-21 15:54:41,043 ERROR        pool-3-thread-2|    SyncMessageConsumer| Async msg handling error: null
2018-11-21 15:54:43,684 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:46,794 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:50,010 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:50,279 ERROR        pool-3-thread-2|    SyncMessageConsumer| Async msg handling error: null
2018-11-21 15:54:53,140 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:53,244 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:56,290 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:56,358 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:59,409 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:54:59,479 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:02,526 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:02,596 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:05,675 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:05,860 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 15:55:05,966 ERROR             StartUpThr|          StartUpThread| ORS Node startup failed
2018-11-21 16:05:25,186 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitRetry'. Returning default: 'null'
2018-11-21 16:05:25,186 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitSleep'. Returning default: 'null'
2018-11-21 16:05:25,187 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'serverGUID2'. Returning default: 'null'
2018-11-21 16:05:27,354 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:27,344 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:27,363 ERROR        pool-3-thread-3|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:30,578 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:30,587 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:30,589 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,706 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,806 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:33,856 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:05:36,858 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:36,939 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:36,973 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:40,055 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:40,065 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
